Date,Transaction
30-10-2016,180
31-10-2016,205
01-11-2016,154
02-11-2016,169
03-11-2016,195
04-11-2016,192
05-11-2016,283
06-11-2016,203
07-11-2016,149
08-11-2016,147
09-11-2016,104
10-11-2016,155
11-11-2016,174
12-11-2016,227
13-11-2016,179
14-11-2016,150
15-11-2016,126
16-11-2016,133
17-11-2016,140
18-11-2016,167
19-11-2016,216
20-11-2016,174
21-11-2016,93
22-11-2016,87
23-11-2016,87
24-11-2016,118
25-11-2016,136
26-11-2016,187
27-11-2016,158
28-11-2016,89
29-11-2016,102
30-11-2016,113
01-12-2016,86
02-12-2016,111
03-12-2016,200
04-12-2016,129
05-12-2016,121
06-12-2016,118
07-12-2016,89
08-12-2016,72
09-12-2016,123
10-12-2016,180
11-12-2016,106
12-12-2016,94
13-12-2016,92
14-12-2016,107
15-12-2016,117
16-12-2016,167
17-12-2016,154
18-12-2016,108
19-12-2016,159
20-12-2016,105
21-12-2016,130
22-12-2016,124
23-12-2016,154
24-12-2016,181
25-12-2016,163
26-12-2016,163
27-12-2016,52
28-12-2016,113
29-12-2016,154
30-12-2016,110
31-12-2016,113
01-01-2017,163
02-01-2017,163
03-01-2017,95
04-01-2017,84
05-01-2017,102
06-01-2017,91
07-01-2017,199
08-01-2017,108
09-01-2017,88
10-01-2017,85
11-01-2017,109
12-01-2017,76
13-01-2017,119
14-01-2017,195
15-01-2017,122
16-01-2017,69
17-01-2017,96
18-01-2017,83
19-01-2017,120
20-01-2017,138
21-01-2017,207
22-01-2017,168
23-01-2017,110
24-01-2017,114
25-01-2017,69
26-01-2017,113
27-01-2017,160
28-01-2017,243
29-01-2017,157
30-01-2017,73
31-01-2017,115
01-02-2017,126
02-02-2017,122
03-02-2017,141
04-02-2017,302
05-02-2017,173
06-02-2017,138
07-02-2017,107
08-02-2017,105
09-02-2017,124
10-02-2017,146
11-02-2017,188
12-02-2017,119
13-02-2017,150
14-02-2017,114
15-02-2017,80
16-02-2017,111
17-02-2017,176
18-02-2017,240
19-02-2017,188
20-02-2017,116
21-02-2017,88
22-02-2017,115
23-02-2017,103
24-02-2017,144
25-02-2017,183
26-02-2017,191
27-02-2017,77
28-02-2017,124
01-03-2017,95
02-03-2017,95
03-03-2017,136
04-03-2017,265
05-03-2017,131
06-03-2017,100
07-03-2017,120
08-03-2017,79
09-03-2017,106
10-03-2017,141
11-03-2017,210
12-03-2017,151
13-03-2017,106
14-03-2017,105
15-03-2017,87
16-03-2017,117
17-03-2017,120
18-03-2017,186
19-03-2017,131
20-03-2017,97
21-03-2017,104
22-03-2017,107
23-03-2017,126
24-03-2017,132
25-03-2017,254
26-03-2017,163
27-03-2017,89
28-03-2017,110
29-03-2017,100
30-03-2017,124
31-03-2017,154
01-04-2017,181
02-04-2017,121
03-04-2017,121
04-04-2017,120
05-04-2017,145
06-04-2017,119
07-04-2017,103
08-04-2017,209
09-04-2017,72
